timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2022-10-14,114.1,114.96,106.6,106.9,106.9,67737344,0.0000,1.0
2022-10-13,107.88,113.44,105.345,112.53,112.53,86868103,0.0000,1.0
2022-10-12,112.49,113.83,111.4,112.9,112.9,45728660,0.0000,1.0
2022-10-11,112.71,115.48,110.39,112.21,112.21,56432233,0.0000,1.0
2022-10-10,115.1,116.25,112.43,113.67,113.67,42339675,0.0000,1.0
2022-10-07,118.0,118.17,113.88,114.56,114.56,54677980,0.0000,1.0
2022-10-06,120.77,121.53,119.5,120.3,120.3,42253755,0.0000,1.0
2022-10-05,118.58,121.75,117.69,120.95,120.95,48217535,0.0000,1.0
2022-10-04,119.89,123.0,119.79,121.09,121.09,62812564,0.0000,1.0
2022-10-03,113.58,116.91,112.45,115.88,115.88,50941854,0.0000,1.0
2022-09-30,114.075,116.92,112.84,113.0,113.0,59479586,0.0000,1.0
2022-09-29,115.6,116.07,113.06,114.8,114.8,58969714,0.0000,1.0
2022-09-28,114.38,118.7,113.8,118.01,118.01,55763750,0.0000,1.0
2022-09-27,117.195,118.32,113.05,114.41,114.41,60094693,0.0000,1.0
2022-09-26,113.295,117.34,113.13,115.15,115.15,62723268,0.0000,1.0
2022-09-23,116.0,116.05,112.06,113.78,113.78,65126665,0.0000,1.0
2022-09-22,117.08,118.79,116.26,117.31,117.31,54959006,0.0000,1.0
2022-09-21,122.49,123.76,118.45,118.54,118.54,58498887,0.0000,1.0
2022-09-20,123.35,124.3963,121.14,122.19,122.19,47698432,0.0000,1.0
